content,replies,retweets,favorites,date
"Xenophobia: @UN Chief Condemns ‘Acts Of Violence’ Against Foreigners | Sahara Reporters 
“We strongly condemn the acts of violence that have been reported in different provinces in South Africa, including attacks against..."" @antonioguterres 
READ MORE: http://bit.ly/30ZOXLy ",5,26,59,Sep-04
JUST IN: @flyairpeace offers free flights to #Nigerians willing to return from #SouthAfrica https://www.thecable.ng/just-in-air-peace-offers-free-flights-to-nigerians-willing-to-return-from-south-africa/amp … via @thecableng #Xenophobia #XenophobicAttacks,3,126,205,Sep-04
Shitheads in South Africa should listen to this! #XenophobicAttack #XenephobicAttacks #Xenophobia pic.twitter.com/8x1oB45Yke,6,107,147,Sep-04
"Kalenjins here shouting #Xenophobia & how Kenyans are peaceful yet y'all burned foreigners hiding in churches. Smh!

Like gold fish we have forgotten about the Post Election Violence.

Condemn South Africa but DON'T you dare say Kenyans are peaceful. Smh! ",29,61,149,Sep-04
To everyone saying the reason for the recent #XenephobicAttacks on Black Africans in South Africa is because of a Nigerian killed a taxi guy..#EndXenophobia #Xenophobia ,12,122,139,Sep-04
"BREAKING:

Angry Zambian Citizens set ablaze a South African Airways Aircraft in Zambia Airport.

Xenophobia results hitting South Africa investments everywhere!!!
Although, this is not the best option. ",51,161,217,Sep-04
"Some people don't even know what is happening and they are busy destroying shoprite, I asked one tout.... Oga what is happening.. The guy said they killed Xenophobia an igbo guy in South Africa. 
#copied",172,319,950,Sep-04
"South Africa. Heartbreaking. No lady should live in fear of rape, or die from being a victim of this heinous crime. The xenophobia is devastating to imagine. You taught us #ubuntu. This isn’t what it looks like to the rest of us. Rape isn’t #Ubuntu xenophobia is not #ubuntu",4,27,67,Sep-04
"SAY NO XENOPHOBIA IN SOUTH AFRICA. 

The truth is coming out now listen. ",7,72,55,Sep-04
To our family in #Africa #Southafrica #Nigeria.. My question to you is.... Who benefits from our division? Who makes money from our killing of one another? Who lives well from our destruction? THE COLONIZERS! THAT! Is the REAL ENEMY! NOT ONE ANOTHER! WE ARE BROTHERS! #Xenophobia,15,128,279,Sep-04
"This needs to go viral.
These are the stories we need from South Africa.
Real stories from the cause of this madness.
We know Xenophobia has been in existence, but these fresh attacks need to be looked into.  ",5,92,67,Sep-04
There's been recent killings in South Africa this has to stop! We are saddened by the current attacks on Nigerians in South Africa and we urge the government and our people to do all they can to save lives and properties.  SAY NO TO #Xenophobia #SouthAfrica,,15,20,Sep-04
"I need to write an obituary. I thought I'd start it like this.. The new South Africa died today after a long illness of maladministration, corruption, ineptitude, looting, racism and xenophobia.. may it rest in peace..",11,20,85,Sep-04
"Nigeria has recalled its Ambassador to South Africa, Kabiru Bala, pulled out of the World Economic Summit in Cape Town & have demanded compensation for the loss of life $ property of Nigerians affected by xenophobia

What it signifies when a country calls back their ambassador ",12,74,104,Sep-04
"#XenophobicAttacks: Nigerians Speak On Killings Of Nigerians In South Africa #Xenophobia #SouthAfrica @NGRPresident @SaharaTV1 

WATCH FULL VIDEO: http://bit.ly/2luELuO ",7,36,147,Sep-04
"Silence, does anyone care??? South Africa was a charity money gathering for people like @SAafridiOfficia . But where is their support for us? As a Pakistani, residing in South Africa, Why are they all silent? @ImranKhanPTI @SMQureshiPTI #Xenophobia ",3,38,40,Sep-04
"I really admire the solidarity of African leaders who refused to go to South Africa emulated, Kagame, the Malawi President among others.Then also Tiwa Savage’s cancelling of her show should tell other artists what to do until they get back to their sense and end Xenophobia.",3,15,69,Sep-04
"South Africa is going through a rough time lately,we lost two young ladies with a bright future ahead of them ,& there’s a lot of xenophobia 

I’m going to make it a point to take ten minutes of my day to do a random act of kindness, small acts to counter the hate. Let’s try :) ",11,14,65,Sep-04
"AU condemns #XenophobicAttacks in South Africa
We say NO TO #XenephobicAttacks #XenophobicAttacks #Xenophobia #XenophobiaAttack

@Julius_S_Malema making a difference

@MBuhari @ProfOsinbajo @abikedabiri @NigeriaGov @nidcom_gov @Ayourb @Mr_JAGs @SundayDareSD @AfricanUnionUN",4,47,61,Sep-04
Even those who sponsored the burning of foreigners in Eldoret and Naivasha are here telling South Africa off on xenophobia.,95,426,1.0K,Sep-04
": MARKET SQUARE DISCLAIMER TO BAD!!

Market Square is 100% Nigerian Owned Company. 

Market Square has no affiliation with #SouthAfrica. 

Thank you for your continued patronage. 

#Nigeria #XenophobiaInSouthAfrica #XenophobicAttacks #Xenophobia #WeNoGetPresident",12,52,168,Sep-04
"[MUST READ]

South Africa Opposition Leaders call for an urgent meeting with the President to find solutions to the 
gender-based violence and xenophobia. 

READ FULL STATEMENT:
#XenophobiaInSouthAfrica #StopKillingOurWomen #StopXenophobia",8,34,64,Sep-04
"#Xenophobia: Nigeria recalls Ambassador to South Africa, shuns World Economic Summit (WES)
_
Nigeria has recalled its Ambassador to South Africa
_
The nation has also pulled out of the World Economic Summit
_
It also demanded full compensation, the News Agency of Nigeria reports ",6,41,173,Sep-04
How common are xenophobic attacks in South Africa? https://bbc.in/32oAKIk  #Xenophobia ,13,32,74,Sep-04
"While the president is keeping quiet,there is an uprising in south Africa.
The mob is singing clearly: GO HOME.

BUT OUR GOVERNMENT IS SHARING THEIR DEEP CONCERN. There is fire on the mountain,and there's no one and nowhere to run to.
#Xenophobia ",107,872,778,Sep-04
"NEWS.
The Federal Government of Nigeria recalls the Nigeria High Commissioner to South Africa.

END #xenophobiaattacks #XenophobiaInSouthAfrica #XenophobicAttacks #Xenophobia",,39,75,Sep-04
"Xenophobia: Zambian Students Storm South Africa Embassy, Destroy Properties. https://www.channelstv.com/2019/09/04/xenophobia-zambian-students-storm-south-africa-embassy-destroy-properties/ …",117,493,1.1K,Sep-04
"A graphical representation of the number of foreigners affected by #Xenophobia in South Africa from 2007 to 2018.

Also, a breakdown of violence incidents by province since 1994 in South Africa.

The violent attacks peaked in 2008 and one can only wonder what was done then. ",6,85,92,Sep-04
"BREAKING: 
Nigeria recalls Ambassador to South Africa.
Boycott the world economic summit in South Africa. 

#XenophobiaAttack #XenophobiaInSouthAfrica #XenophobicAttacks #Xenophobia",17,118,307,Sep-04
"The decision was taken at a meeting between President Buhari, Vice-President Yemi Osinbajo and Nigeria’s foreign affairs minister Geoffrey Onyeama. https://guardian.ng/news/nigeria-recalls-ambassador-to-south-africa/?utm_medium=Social&echobox=twitter_post&utm_source=Twitter#Echobox=1567605639 … #Nigeria #SouthAfrica #XenophobicAttacks #Xenophobia",5,77,195,Sep-04
"Buhari is finally acting against xenophobia in South Africa.

Nigeria has recalled its Ambassador to South Africa, and has withdrawn from the World Economic Forum (WEF) Africa meeting in South Africa.

It also summoned the South African High Commissioner to Nigeria yesterday.",9,141,271,Sep-04
And sometimes you need to hear the truth on the streets from a South African. #xenophobia #Rosettenville #SouthAfrica ,63,433,774,Sep-04
"Xenophobia has been on in South Africa for at least a decade, killings that have included Nigerians and other Africans for the most part. If it doesn’t end now, it won’t ever end. And ending it must start with African governments isolating the South African government!",68,909,2.0K,Sep-04
"[BREAKING] Xenophobia: Nigeria recalls Ambassador to South Africa, shuns WES
https://punchng.com/breaking-xenophobia-nigeria-recalls-ambassador-to-south-africa-shuns-wes/ …
#XenophobiaInSouthAfrica 
#XenophobicAttacks 
#SayNoToXenophobia 
#Nigerians",333,1.0K,2.4K,Sep-04
"FLASH: Nigeria has pulled out of the ongoing World Economic Forum in Cape Town, South Africa, over fresh #XenophobicAttacks and also plans to recall Kabiru Bala, its high commissioner to South Africa. #Xenophobia",9,23,73,Sep-04
"BREAKING: 
President Buhari and VP Osinbajo meet over xenophobia as Nigeria boycotts WEF in South Africa.

Good.  ",13,71,157,Sep-04
"MTN has closed down their stores nationwide in Nigeria, and asked their workers not to come to work over fear of attacks because of the xenophobia in South Africa.",17,427,963,Sep-04
A revolution has begun. The xenophobia in South Africa was a trigger. Now the impoverished in Nigeria are protesting the poverty that was weaponized by the elite.,2,24,65,Sep-04
"My first experience with xenophobia in South Africa: 

I was pulled aside by an ""official"" upon arriving at the Cape Town airport from Nigeria. 2016. I had come as a finalist for the CNN African Journalist Award. 

Thread
1
#XenophobiaInSouthAfrica 
#SayNoToXenophobia",35,417,343,Sep-04
Wizkid is doing the good work with his tweets addressing xenophobia in South Africa. He is driving valid points. Violence won't solve anything.,9,163,658,Sep-04
University of Zambia students marching against xenophobia in South Africa. ,36,675,1.2K,Sep-04
This is Jabu! a taxi driver who was shot dead last week for stoping the drug dealer from selling drugs to a young boys.  #XenophobicAttacks #SouthAfrica #SayNoToXenophobiaAttacks #Xenophobia #XenophobiaInSouthAfrica,349,3.5K,6.4K,Sep-04
"Kazungula, Botswana/Zambia border - South African truck drivers being sent back at the border in retaliation. #Xenophobia #Zambia #SouthAfrica #SAShutdown #shutdownsouthafrica #XenophobiaInSouthAfrica",118,428,518,Sep-04
My heart cries for my Nigerian brothers and sisters who have been senselessly killed in South Africa. I strongly condemn this hateful discrimination and xenophobia. I pray for us to come together as a continent to fight this injustice …F.Ote,527,3.3K,14K,Sep-04
I have to post something again light of the xenophobia issue going in with our people in South Africa today... stay tuned. I'm really pained. I cant lie ,13,24,319,Sep-04
"Like Nigeria, kenya and the rest of Africa must take a stern action against South Africa which appears to be unwilling and or unable to firmly deal with and stamp out  xenophobia against fellow Africans.",109,166,783,Sep-04
"Xenophobia: Avoid Travelling To South Africa, FG Tells Nigerians. https://www.channelstv.com/2019/09/04/xenophobia-avoid-travelling-to-south-africa-fg-tells-nigerians/ …",48,119,304,Sep-04
"#SayNoToXenophobia # #Xenophobia

South Africa : biggest economy in Africa

Nigeria : 2nd biggest economy in Africa

The whiteman : ",7,28,86,Sep-04
"Xenophobia: Tiwa Savage Cancels Scheduled Performance In South Africa

https://www.channelstv.com/2019/09/04/xenophobia-tiwa-savage-cancels-scheduled-performance-in-south-africa/ …",26,98,638,Sep-04
"After all that is happening in South Africa, these is what Google news is reporting ... Not a single headline about Xenophobia. 
WAKE UP AFRICA, THEY DON'T CARE ABOUT YOU.
#XenophobiaInSouthAfrica  
#Nigeria",10,51,94,Sep-04
"One Nigerian man dey live peacefully in Ghana here. He doesn't have any idea about this Xenophobia attack wey dey go on between his country Nigeria, and South Africa untill i showed him everything Tears start dey kommot for ein face..

#SayNoToXenophobia
#XenophobiaInSouthAfrica",24,276,1.6K,Sep-04
"I’m in South Africa during a crisis of gender based violence & xenophobia. Stuck in traffic, in awe of these brave protesters who are marching to parliament, advocating for the safety of women & young girls. #Powerful #timesup #capetown   #southafrica pic.twitter.com/jSIKZ8y6VV",1,16,80,Sep-04
What we’re facing is bigger than just Xenophobia because I refuse to believe the recent looting in Lagos that resulted in the loss of Nigerian lives and property is as a result of the issues happening in South Africa.,22,411,996,Sep-04
"Genevieve Nnaji on the xenophobia experienced by Nigerians in South Africa - A Real Celebrity, A Real Queen. A seasoned actress with sense.   ",2,52,102,Sep-04
Have to go back to the township today  to cover #Xenophobia ...... as an African foreigner I hate doing it.... it’s dangerous ....#Southafrica,12,12,65,Sep-04
"Today let’s try this as a continent, hold South Africa accountable for their xenophobia without sanitizing your own country. It is possible.",2,46,71,Sep-04
"Even in the midst of our anger and everything, I can still see a lot of tweets condemning the destruction and looting that took place yesterday as a result of South Africa's behaviour. How many S.Africans have you seen condemn xenophobia and the resultant killings/destruction?",3,85,44,Sep-04
"Xenophobia is real in South Africa, Black South Africans need re-education – Tracy SarkCess condemns xenophobia as she shares her experience ",,35,220,Sep-04
Destroying franchises owned by indigenes on Nigerian soil is not a reprisal attack on South Africa’s Xenophobia but a demonstration of self genocidal antics influenced richly by foolishness & illiteracy. You are hurting the jobs of your fellow compatriots. This is not the way. ,669,7.0K,12K,Sep-04
South African Deputy Police Minister Bongani Mkongi “How can a city in South Africa be 80% foreigners. That is dangerous. South Africans gave surrendered their own cities. This is not xenophobia. We cannot surrender it” ,90,172,257,Sep-04
"Thank you Tiwa Savage, I call on all other artists and entertainers with scheduled performances in South Africa to cancel them until their Government deals with the issue of #Xenophobia. It does not make sense for you to go entertain the rich when your brothers are being killed! ",34,160,462,Sep-04
"Just listen to Sowore on xenophobia and killings of Nigerians in South Africa. You can kill a man but you Cant's kill his idea. Please watch. Revolution is the only way out of this mess.
#RevolutionNow 
#FreeSowore 
#StopXenophobia",6,112,150,Sep-03
"#Xenophobia A LETTER TO SOUTHAFRICA.

DEAR South Africa where ever NELSON MANDELA the saint is, he ain't happy to whatever is going on.
I am not a Nigerian but this is touching & sad. We are Africa.Let's stand up as Africa.
        SAY NO TO Xenophobia.
Yours ;The Ugandan. ",2,44,72,Sep-03
"Some Nigerians are trying hard to drag Ghanaians into this, let’s find way to solve the Xenophobia attacks in South Africa . Ghana  Loves Nigeria  
#SayNoToXenophobicAttacks",1,23,105,Sep-03
"What scares me about South Africa the most is that the majority of them are okay with Xenophobia, sexual assault and domestic violence. That country is a piece of shit. #SayNoToXenophobia",43,143,346,Sep-03
"Xenophobia in South Africa is as a result of untreated governance ills in Africa. To cure it, African leaders must be brave enough to deal with their style of politics in their individual countries. Corruption, human rights violations, lack of economic opportunities etc.",41,110,638,Sep-03
Xenophobia: ‘Buhari is indecisive’ – Alibaba speaks on killings of Nigerians in South Africa ,9,50,148,Sep-03
"The Police in South Africa has never killed any of their citizens looting and killing foreigners.

 But the Nigeria Police,in their usual manners has already killed one Nigerian today in Lekki for protesting d ongoing Xenophobia attacks in South Africa.
@NGPoliceForce so useless",2,46,75,Sep-03
"With due respect Ma, your stupidity is unsearchable. Great and mighty is your foolishness. You're next in line for a xenophobic attack. Doctor of non entities. You lack basic sense.....
#Xenophobia #XenophobicAttacks #XenophobicAttack
#SouthAfrica #shutdownsouthafrica
#SAShutdown",,41,48,Sep-03
"I love my country. I am not going to give up on her and her people. Nor will I give up on my beloved continent and all of her people.

We can beat crime and we can beat xenophobia. Both have no place here in South Africa or any where else on the continent. #NoToXenophobia ",12,62,458,Sep-03
"Business in #SouthAfrica currently seems to be more about #looting, #Xenophobia and #shutdownsouthafrica . The country is falling apart, burning and pleading for leadership while #DearMrPresident @CyrilRamaphosa  is enjoying a little breakfast.",8,52,52,Sep-03
"After all the videos I have seen of Nigerians destroying and looting shops here in Nigeria...in the name of fighting Xenophobia in South Africa 

My conclusion is; 

ILLITERACY and XENOPHOBIA are related. 
              They are COUSINS",9,78,128,Sep-03
"South Africans aren’t xenophobic to Batswana because they think we are the same. It’s funny because Mozambique, Zimbabwe and Zambia (other countries that neighbour/in close proximity to South Africa) receive so much xenophobia. Why?",8,24,64,Sep-03
I don't know why all these Africans from other countries are so hell bent on painting us South Africans as barbaric? How come they don't want to acknowledge what their fellow Africans are doing in South Africa? Is it their plan to destroy South Africa out of envy? #Xenophobia,13,32,82,Sep-03
"I am hurt and saddened by the violent attacks of our brothers and sisters by fellow black africans in South Africa. At its core, xenophobia is a manifestation of moral bankruptcy and corruption of the mind and thus, it must be condemned and denounced. I #SayNoToXenophobia",159,95,548,Sep-03
"Fellow Nigerians, burgling ShopRite is not the same as demonstrating against xenophobia

To everyone who broke into ShopRite Sangotedo and carted away things in the name of avenging our brothers; you're a thief and it has nothing to do with Nigerians being killed in South Africa.",20,198,350,Sep-03
"Something even relatively small happens in #Zimbabwe it gets global attention 24/7
#Southafrica xenophobia attacks  .... hardly any international coverage .... why?",182,202,543,Sep-03
"If you are really angry about #Xenophobia 
Go to South Africa!
Go to Abuja!
Go to Aso Rock!
Go to South African Embassy!
Go to President's office!
Boycott the government!
Start a revolution!
Don't loot/burn stores, that's senseless.
#SayNoToXenophobicAttacks",22,211,480,Sep-03
"This Happened In Surat, India (May 24, 2019). It Did Not Happen In South Africa. #SayNoToXenophobia #XenophobicAttacks 
#Xenophobia ",9,41,54,Sep-03
Xenophobia: South Africa Arrests 90 Suspects (see reasons) https://wp.me/paZsKO-FX  #SouthAfrica #Xenophobia,11,25,44,Sep-03
"#Xenophobia: Attacks Contradict Your Ideals, @OfficialAPCNg Tells South Africa's Ruling Party, ANC | Sahara Reporters
“Nigeria deserves better from South Africa. It is too early for South Africans to forget their country’s history.""
READ MORE: http://bit.ly/2HLyKlI ",5,29,66,Sep-03
"Xenophobia: Attacks Contradict Your Ideals, APC Tells South Africa's Ruling Party, ANC | Sahara Reporters http://bit.ly/2HLyKlI ",1,11,59,Sep-03
"Xenophobia is wrong and I have no interest in justifying or excusing it. But we also cant pretend that Nigerians in particular aren't a problem, across the globe. 

Maybe @NigeriaGov can focus on teaching it's citizens how to behave before they threaten South Africa. ",21,125,145,Sep-03
This is an odd take. Instead of you to be happy that more awareness is being brought to the attacks in South Africa you are doing oppression olympics. It's this type of misplaced jealousy and hate towards Nigerians that fuels Xenophobia ,2,44,91,Sep-03
"Today alone:

Nigerians lost their lives and properties in South Africa. 

Nigerians decided to retaliate. So Nigerians robbed Nigerians in Nigeria. 

Tomorrow, Nigerians in South Africa and Nigerians in Nigeria will both be jobless and devastated.

We lost...twice! #xenophobia",3,35,25,Sep-03
"Xenophobic attacks:
Nigerians overlook too many things. The xenophobia is Becoming a nightmare that requires a nightmarish response. 

#SayNoToXenophobicAttacks 
#SayNoToXenophobia 
#XenophobicAttack 
#SouthAfrica 
#ShutDownSA 
#Nigeria",,28,33,Sep-03
"Concerning the current Xenophobia Attacks in South Africa here is a curated Playlist on Apple Music you can listen to Featuring Burna boy, Falz,Tekno,Wizkid, Davido,Asa  and the Rest....

",3,26,132,Sep-03
"Nigerian Boy Drops A Message For South Africans, Takes Them On History Class. 

Tag Your Friends To See This 
#macdanielsblog #XenophobicAttacks #SouthAfrica  #history #XenophobicAttack #Xenophobia #trending #africa #Nigeria #lagos #news #StopXenophobia #ShutDownSA #TheView",23,90,176,Sep-03
"#Xenophobia: @burnaboy threatens AKA, vows to never visit South Africa | TheCable http://bit.ly/2k1hxMo  #SayNoToXenophobia #Burna",10,19,133,Sep-03
"Youths of South Africa if you dont know your history 
Mandela was hidden in Nigeria from the apartheid Govt for 6 months in 1963.
And nigeria provide 300 passports for South Africa children to study dont know if ur father or mother was among 
#Xenophobia ",,62,143,Sep-03
"South Africa vying to host 2023 women's world cup. 

They are joking right?

#Xenophobia  ",24,82,130,Sep-03
"If South Africa wants to know the strength of Nigeria government, they should kill one cow 
I dare SA #SayNoToXenophobia #Xenophobia",4,23,35,Sep-03
"Do we start calling for sanctions,on South Africa  because of xenophobia just like the days of apartheid @FIFAcom and @CAF_Online  should take note. 
We must all condemn this act like we did apartheid and do racism.",20,27,75,Sep-03
Protect our brothers and sisters in south africa from xenophobia attacks ,4,30,79,Sep-03
"It's Only In South Africa That An illiterate Villager Thinks A Qualified Medical Doctor From Another African Country is The Reason For His Unemployment.-RMugabe
#Xenophobia #XenophobicAttack #NoToXenophobia",24,269,787,Sep-03
"In our stance against #Xenophobia, we extend a hand of love to helping Nigerians in South Africa willing to return home, a one way ticket with our formally allocated funds  for the company’s vacation to #SouthAfrica
Please reach out to us via communications@landweyinvestment.com ",10,237,235,Sep-03
"So much has been happening round the world; from xenophobia in South Africa, Linda Ikeji, AKA, Kate Henshaw, African Giant & the impotent government in Nigeria but you can still free yourself and laugh hard after watching this video. ",24,134,347,Sep-03
"Zambia cancelled their friendly match with south Africa.... 

You can't play a friendly match with someone that's unfriendly so they don't kill you in the process.

#SAShutdown 
#XenophobicAttack 
#Xenophobia ",3,21,79,Sep-03
"Listen to this guy understand...

There's no #Xenophobia in South Africa #AncSoldOut you can't go to any of our neighbouring countries and sell drugs, kidnap Woman and Children. Do as you Please.  #shutdownsouthafrica #DearMrPresident #Hatfield #AmINext #BringNatashaHome",43,280,348,Sep-03
"Burna Boy is totally right about what he said about not wanting to step foot here (Afropunk really thought lmfaoooo). At this point, South Africa should be sanctioned for the gross level of violence due to this xenophobia.",,154,113,Sep-03
"Nigerians are being killed currently in South Africa. #Xenophobia everywhere #SayNoToXenophobia we are all one.

Nigerian celebrities:",4,83,120,Sep-03
"This guy dissects the truth and history of Xenophobia in South Africa. The reality is shocking, #SayNoToXenophobia!

#SAShutdown",24,446,677,Sep-03
"Photo of the Nigerian Youth allegedly killed by officers of the @PoliceNG at Shoprite Circle Mall, Jakande, Lekki, Lagos State.

Nigerians are killed in #SouthAfrica, now in #Nigeria.

@segalink @realFFK @akaebube

#SAShutdown #Xenophobia ",109,171,281,Sep-03
"I Seriously wish Buhari is Alive to witness what's going on to Nigerians in South Africa and what happened to Protesters in Jakande. #Xenophobia

Something needs to be done, we can't continue like this, please.",30,174,422,Sep-03
"OYO Ile: Ibadan goes anti #Xenophobic. Because we are quiet does means we are fools.

#Xenophobia #SAShutdown #Nigerians #XenophobicAttack #StopXenophobia #Nigeria #SouthAfrica #PrayForSouthAfrica
https://twitter.com/mhiztaeric/status/1168931094009454592/video/1 …",7,51,200,Sep-03
"Now it's #SouthAfrica against the whole #Africa. They will regret this act eternally.

#Xenophobia #SAShutdown #Nigerians #XenophobicAttack #StopXenophobia #PrayForSouthAfrica",7,52,133,Sep-03
"We don’t need prayers alone in this country but sense aswell, this goes to all men in authority that’ve decided to keep mute to the injustice going on in South Africa. God punish all of you! #Xenophobia",3,25,115,Sep-03
Crisis at Circle mall as Nigerians destroys South Africa's businesses in the country.. all against Xenophobia.. #saynotoxenophobia #shoprite #lagos #lekkinews #lekkitv #nigeriapolice #xenophobia #Mtnnigera #SouthAfricanXenophobia,17,121,175,Sep-03
"Graphic content 

This is really sad to watch. South Africans still attacking harmless African foreigners.

#Xenophobia #SAShutdown #XenophobicAttacks #SouthAfrica #shutdownsouthafrica #SayNoToXenophobia #SuspendRealDkBGhana #nii_demigod 

Retweet after watching 
",116,610,823,Sep-03
"To stone your worst enemy to death, you must be evil. To stone someone to death for the sin of being foreign, ignoring their cries for mercy, means your humanity fuse blew a long time ago. South Africa, you  need help. You are collectively deeply disturbed. #Xenophobia",14,65,227,Sep-03
"As we await the official report from President Buhari’s Special Envoy to South Africa, I’ll like to put it on record that IF THE SOUTH AFRICAN GOVT WASN’T IN SUPPORT OF THE ACTIONS OF THOSE MISGUIDED YOUTHS, THE SA CHIEF OF POLICE WOULD HAVE BEEN SACKED! 

#Xenophobia",101,833,2.1K,Sep-03
"We need to de-escalate the conversation. #Xenophobia 

We as Africans need each other and I am seeing the conversation take a nasty turn. 

Otherwise the criminal elements win. South Africa needs Nigeria. Nigeria needs South Africa. The same applies across the 55 states.",13,34,66,Sep-03
"JUST IN: #ZAMBIA VS #SOUTHAFRICA GAME CANCELLED.

THE Football Association of Zambia @FAZFootball has canceled the international friendly game between #Zambia and South Africa. #XenophobicAttacks #StopXenophobia
#Xenophobia ",60,314,663,Sep-03
"Just received reports of reprisal attacks at Shoprite in Lekki, Lagos state. I know as Nigerians we are offended at the attacks against our brothers and sisters in South Africa. However, two wrongs can't make a right. Therefore, I urge for calm amongst our brethren. #Xenophobia",1.1K,1.6K,6.1K,Sep-03
"Our government is known for bullying us but never stepping up to other countries when need be. If PMB doesn’t begin to threaten South Africa with sanctions right away, the xenophobia against us will continue.

Our government, always making us feel like married but living single.",7,38,176,Sep-03
"It's so sad that the problem of Africa is Africans.

Nigerians stood up in one accord against Apartheid in South Africa & the thanks we get is Xenophobia?

Shame on any South African carrying out these dastardly acts.

May God keep our loved ones safe 



#SayNoToXenophobia",10,170,353,Sep-03
VIDEO: #Xenophobia -University of Pretoria students seen marching in protest against #XenophobicAttacks and violence currently going on in South Africa. #SayNoToXenophobicAttacks #StopXenophobia,13,166,209,Sep-03
"Shoprite is a franchise, the ones in Nigeria are probably owned by Nigerians. So burning these department stores and shutting them down will put Nigerians out of work but won’t stop the #xenophobia in South Africa.",19,92,208,Sep-03
"NIGERIANS do this to their own daily now upset it's happening in a modern country. Clean your backyard first.

Don't care if you hate the truth
#truthneverdies 
#Xenophobia #XenophobicAttacks
#Kemitalks #XenophobicAttack
#SouthAfrica #shutdownsouthafrica
#SAShutdown
#KemiOlunloyo",969,345,805,Sep-03
"BREAKING NEWS

THE ZAMBIAN FOOTBALL ASSOCIATION HAVE CANCELLED THE FRIENDLY AGAINST BAFANA BAFANA 

This is really sad.

#BafanaBafana #Zambia #Chipolopolo #shutdownsouthafrica #Xenophobia #SAShutdown #SouthAfrica ",28,110,123,Sep-03
"Angry Nigerians successfully shutdown #Shoprite at Sangotedo.

#Xenophobia #SAShutdown #EnoughIsEnough #ShutDownSA #XenophobicAttacks #SouthAfrica #shutdownsouthafrica",174,599,1.4K,Sep-03
"JUST-IN: Reprisal attack at shoprite, Lekki led by a woman who claimed her brother was burnt alive in South Africa. #Xenophobia #SAShutdown #SayNoToXenophobia #NoToXenophobicAttacks",8,56,130,Sep-03
"Listen to what Nigeria Condolence Minister have to say about the Xenophobic attacks On Nigerians in South Africa, Isn't this What we've been waiting to hear ?

Satisfied or Disappointed ?

#SAShutdown #shutdownsouthafrica 
#Xenophobia 
#XenophobicAttacks",20,57,103,Sep-03
"Two men freely talking about raping women in South Africa. 

#Xenophobia #Shoprite",11,115,116,Sep-03
: Listen to this Professor explain the history of Xenophobia earlier this year when Malawi citizens were attacked in South Africa. #SayNoToXenophobia #SAShutdown,71,1.9K,2.6K,Sep-03
Fuck Police fuck South Africa #SAShutdown #Xenophobia at Jakande Lekki express way pic.twitter.com/4sGXEr7GpH,19,165,345,Sep-03
"#Xenophobia: No Market Today!

Angry women pay a #Xenophobic visit to Shoprite CircleMall Lekki, Lagos. Nigerians are not as calm as #SouthAfrica thought.

#XenophobicAttacks #EnoughIsEnough #SAShutdown #SayNoToXenophobia",13,50,99,Sep-03
"- Just in : Nigerians in south Africa, protesting against the south African police at the moment. #SayNoToXenophobia #Xenophobia

",93,683,894,Sep-03
"Vector has cancelled his South Africa tour because of this xenophobia BS 

 how many times will i Stan today?  i reStan again",63,1.2K,3.1K,Sep-03
"In Libya we are sold as slave
In Saudi Arabia we are beheaded
In South Africa, xenophobic attacks
In Thailand we die by firing squad
Being a Nigeria is now a Crime. God Help us. #xeb #Xenophobia #shutdownsouthafrica
#Nigeria",12,70,144,Sep-03
"South Africa is Africa’s largest & most advanced economy that relies on rest of Africa to expand its Banks, Supermarkets & for its exports ... If it can’t once & for all end #Xenophobia , then Africa must  #SAShutdown ... Poor & Lazy South African Blacks can’t blame Africans.",117,513,1.8K,Sep-03
"Dear South Africans 
We face neither East nor West; we face forward ~ Kwame Nkrumah 
Say No To Xenophobia 
#SayNoToXenophobia #XenophobicAttacks #SouthAfrica #Africa",,100,142,Sep-03
"Just heard that Shoprite in Jakande/Lekki axis of Lagos is under siege with workers and shop goers (Nigerians) on the run 

It could even be a franchise owned by a Nigerian.

How does this help the current situation? Doesn’t make sense IMO .

#xenophobia #southafrica #nigeria",22,52,136,Sep-03
"WARNING!!
SouthAfrican Police seen Shooting a Nigerian man who was trying to Video them.#Xenophobia #SAShutdown #SouthAfrica #SayNoToXenophobia #shutdownsouthafrica #XenophobicAttack #JohannesburgCBD #PrayForSouthAfrica #AmINext #Nigerians",27,160,178,Sep-03
"#Xenophobia: Leave Nigeria In Seven Days Or Face Attacks, Youth Group Tells South African Investors | Sahara Reporters 
The group gave the warning while reacting to news of xenophobic attacks on Nigerians and their investments in South Africa. 
READ MORE: http://bit.ly/2ZI3ldW ",51,121,247,Sep-03
"Dear South Africans,

This message is for you.

Listen, grasp and drop the self-hate.

Retweet widely so it gets to every South African

#SayNoToXenophobia #Xenophobia #XenophobicAttacks #SouthAfrica ",15,199,234,Sep-03
JUST IN: Lekki Mall shut down to avoid violence as some people protest against #Xenophobia attacks in South Africa. ,33,315,389,Sep-03
Good | Xenophobia: Reps may end recess over attacks on Nigerians in South Africa - Gbajabiamila - Premium Times Nigeria ,11,17,49,Sep-03
Any riots that last more than 24hrs has the backing of the government #Xenophobia #SouthAfrica #SAShutdown,10,82,290,Sep-03
